concertNumber,Date,Location,Time,Venue,eventType,season,programID,orchestra,id
0,1842-12-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1842-43,3853,New York Philharmonic,38e072a7-8fc9-4f9a-8eac-3957905c0002
1,1843-02-18T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1842-43,5178,New York Philharmonic,c7b2b95c-5e0b-431c-a340-5b37fc860b34
2,1843-04-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Special,1842-43,10785,Musicians from the New York Philharmonic,894e1a52-1ae5-4fa7-aec0-b99997555a37
3,1843-04-22T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1842-43,5887,New York Philharmonic,34ec2c2b-3297-4716-9831-b538310462b7
4,1843-11-18T05:00:00Z,"Manhattan, NY",None,Apollo Rooms,Subscription Season,1843-44,305,New York Philharmonic,610a4acc-94e4-4cd6-bdc1-8ad020edc7e9
5,1844-01-13T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1843-44,3368,New York Philharmonic,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
6,1844-03-16T05:00:00Z,"Manhattan, NY",None,Apollo Rooms,Subscription Season,1843-44,4226,New York Philharmonic,5e533e4f-d4ac-4aaa-b8d2-e189f6806655
7,1844-05-18T05:00:00Z,"Manhattan, NY",None,Apollo Rooms,Subscription Season,1843-44,5087,New York Philharmonic,7550f75e-5c0c-4519-9196-05a6c4e2612c
8,1844-11-16T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1844-45,6310,New York Philharmonic,91f716fc-090d-4c3b-85da-41122eb3fe96
9,1845-01-11T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1844-45,1979,New York Philharmonic,253d22e1-9d44-410c-ae06-61abe434e5ec
10,1845-03-01T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1844-45,2821,New York Philharmonic,6285c981-8e21-4ef1-afb2-634844dd7edb
11,1845-04-19T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1844-45,3259,New York Philharmonic,bd29d7be-ee14-4362-ae93-4d9c8a535804
12,1845-11-22T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1845-46,4919,New York Philharmonic,4b37d068-0d4b-4ba8-8885-5abefa261e91
13,1846-01-17T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1845-46,562,New York Philharmonic,119e0eaf-077f-49f2-b396-6f7b179fe2d8
14,1846-03-07T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1845-46,1408,New York Philharmonic,676bc63e-0f45-49cd-af5a-f36c31e986a1
15,1846-04-25T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1845-46,1851,New York Philharmonic,fb00e4fb-d935-4b13-aa85-06a4d8d89a16
16,1846-05-20T05:00:00Z,"Manhattan, NY",None,Castle Garden,Special,1845-46,2321,New York Philharmonic,7f9997cb-c3a4-4fc5-b241-2348944ef999
17,1846-11-21T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1846-47,3540,New York Philharmonic,a7ac4233-c065-41e7-9a36-9a5e3f5daa7b
18,1847-01-09T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1846-47,6573,New York Philharmonic,f93b6dcc-2657-44f6-a69d-0d1a5f9dd396
19,1847-03-06T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1846-47,47,New York Philharmonic,b0704cd5-728d-4886-8445-2b0edb1abeb6
20,1847-04-17T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1846-47,450,New York Philharmonic,343cfe16-cb4f-4557-9ed1-9a14e0725d71
21,1847-11-27T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1847-48,2178,New York Philharmonic,2634f6cb-16ee-4e4b-bd16-827db923e294
22,1848-01-15T05:00:00Z,"Manhattan, NY",None,Apollo Rooms,Subscription Season,1847-48,5195,New York Philharmonic,5c46b292-230b-48ba-b4bd-36488059102d
23,1848-02-05T05:00:00Z,"Manhattan, NY",8:00PM,Castle Garden,Special,1847-48,10581,New York Philharmonic,992ef3ad-b771-4f28-9f10-d917cb614a1d
24,1848-03-04T05:00:00Z,"Manhattan, NY",None,Apollo Rooms,Subscription Season,1847-48,6064,New York Philharmonic,eb21a5b0-ea39-46f5-ba6b-d9dc2d06a457
25,1848-04-29T05:00:00Z,"Manhattan, NY",None,Apollo Rooms,Subscription Season,1847-48,6493,New York Philharmonic,ab75ad47-55de-4119-b0b6-2b1bca15270e
26,1848-12-02T05:00:00Z,"Manhattan, NY",8:00PM,"Assembly Rooms, Chinese Buildings",Subscription Season,1848-49,1171,New York Philharmonic,0228e89c-95a8-468e-90d8-de5ec1e80969
27,1849-01-27T05:00:00Z,"Manhattan, NY",8:00PM,"Assembly Rooms, Chinese Buildings",Subscription Season,1848-49,2607,New York Philharmonic,f5995882-6ab3-4476-8589-d7f528aa2835
28,1849-03-17T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Saloon,Subscription Season,1848-49,3931,New York Philharmonic,37c8e3b1-78f7-43ad-ac76-5a6aec6950b7
29,1849-05-12T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1848-49,5300,New York Philharmonic,a7c94524-c8d5-4b06-97df-bdb2d6c20fd3
30,1849-11-24T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1849-50,7278,New York Philharmonic,af79d260-a728-41e3-ad8c-bb6120d613b7
31,1850-01-12T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1849-50,571,New York Philharmonic,ea6c3d86-3c3b-466f-88f3-a1dd3e7ad516
32,1850-03-02T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1849-50,1907,New York Philharmonic,15aadffc-bfa6-4dbc-9120-a47effb75481
33,1850-04-20T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1849-50,6269,New York Philharmonic,00894e03-f660-42df-a3a9-4b8ca60df7f2
34,1850-11-23T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1850-51,792,New York Philharmonic,9f9f87a1-c71a-42ba-ae76-85b348ce60d4
35,1851-01-11T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1850-51,1443,New York Philharmonic,25180640-72fd-4781-b630-285daae1aa73
36,1851-03-01T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1850-51,2806,New York Philharmonic,e6ec1d38-ff03-4274-8b64-e40c7a6539c9
37,1851-04-26T05:00:00Z,"Manhattan, NY",8:00PM,Apollo Rooms,Subscription Season,1850-51,7161,New York Philharmonic,b619ac44-4294-40d8-9ff9-f7a0258e0ecb
38,1851-11-22T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Concert Room,Subscription Season,1851-52,1666,New York Philharmonic,0ad70f6e-81e5-42ea-a21e-67e09fc1bd6c
39,1852-01-10T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Concert Room,Subscription Season,1851-52,2377,New York Philharmonic,c639d3d5-b22f-4b28-9c54-c57557f5a367
40,1852-02-28T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Concert Room,Subscription Season,1851-52,6717,New York Philharmonic,3168906d-60c9-40ca-b02b-f3b72488b4e7
41,1852-04-17T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Concert Room,Subscription Season,1851-52,682,New York Philharmonic,ea2e47d7-a14e-4534-8bf2-2293010a9ea2
42,1852-11-13T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Concert Saloon,Subscription Season,1852-53,2574,New York Philharmonic,a9b31227-e23a-4946-bdb9-08e079aeb3d5
43,1853-01-15T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Concert Saloon,Subscription Season,1852-53,3266,New York Philharmonic,062c5158-7614-4e69-93b7-7068f36dcc01
44,1853-03-05T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Concert Saloon,Subscription Season,1852-53,4607,New York Philharmonic,8a7c6b4f-70e5-4eb8-a263-30977944879f
45,1853-04-23T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Concert Saloon,Subscription Season,1852-53,1583,New York Philharmonic,448b67aa-7f67-454a-8562-b26fd6a68b6c
46,1853-11-26T05:00:00Z,"Manhattan, NY",8:00PM,Metropolitan Hall,Subscription Season,1853-54,513,New York Philharmonic,b7e89b3a-b7bf-4848-8911-1ee57808eb2e
47,1854-01-14T05:00:00Z,"Manhattan, NY",8:00PM,Broadway Tabernacle,Subscription Season,1853-54,1191,New York Philharmonic,362c1cc8-ddb6-4302-9f02-e217603b0a11
48,1854-03-04T05:00:00Z,"Manhattan, NY",8:00PM,Broadway Tabernacle,Subscription Season,1853-54,2561,New York Philharmonic,3c9fb7f8-6b5a-4f97-8d82-fe18d36199bb
49,1854-04-22T05:00:00Z,"Manhattan, NY",8:00PM,Broadway Tabernacle,Subscription Season,1853-54,6902,New York Philharmonic,bdec9303-3367-41e2-abd3-9eb9f9a4e145
50,1854-12-02T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Garden,Subscription Season,1854-55,5792,New York Philharmonic,9b5939a4-eda0-4656-b627-2ec4452402d1
51,1855-01-20T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Garden,Subscription Season,1854-55,2149,New York Philharmonic,762144db-12d2-423b-96df-56495268d23f
52,1855-03-10T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Garden,Subscription Season,1854-55,3474,New York Philharmonic,611a40fd-6ce6-41c0-b7d3-f49a6ae9fdb8
53,1855-04-21T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Garden,Subscription Season,1854-55,421,New York Philharmonic,ef085f72-0960-4679-bc4b-6ce9bf603d91
54,1855-05-19T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Garden,Special,1854-55,6613,New York Philharmonic,e36aabf6-55d3-4adb-81d6-72166b198550
55,1855-11-24T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Garden,Subscription Season,1855-56,2339,New York Philharmonic,f26146e1-f082-4fbc-bf9a-7afb893143ac
56,1856-01-12T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Garden,Subscription Season,1855-56,3023,New York Philharmonic,7b2b4f27-4505-461a-a7f7-578dfed97326
57,1856-03-01T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Garden,Subscription Season,1855-56,4355,New York Philharmonic,ac170513-4ec5-496d-bac7-13a8dc8d15cd
58,1856-04-19T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Garden,Subscription Season,1855-56,1292,New York Philharmonic,20a62563-d930-4acb-9cb8-750fe82c15ce
59,1856-11-22T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1856-57,3225,New York Philharmonic,8272717c-edad-4fe4-8b49-c71359d923f7
60,1857-01-10T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1856-57,3918,New York Philharmonic,bee7a332-1347-4ce5-8986-0dfb7def7cc7
61,1857-03-07T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1856-57,5264,New York Philharmonic,155929d1-665e-49a4-be19-b3f2b567e792
62,1857-04-25T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1856-57,2244,New York Philharmonic,5f86806e-b341-435e-8a7e-2154476cce73
63,1857-11-21T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1857-58,4134,New York Philharmonic,b1f54fbb-ed78-4e43-a9b9-ffe5e298069c
64,1858-01-09T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1857-58,4814,New York Philharmonic,1ca8928b-00f5-4053-bc77-a5c0ceabf7c3
65,1858-03-06T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1857-58,6185,New York Philharmonic,8ec580ef-391b-4ee7-b11f-e0f96d25ed4d
66,1858-04-24T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1857-58,3150,New York Philharmonic,3639f589-ae95-4465-b72b-fe1e9319d714
67,1858-11-20T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Garden,Subscription Season,1858-59,2117,New York Philharmonic,9801741e-ed73-4eb9-8727-f386788e35d2
68,1859-01-08T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Garden,Subscription Season,1858-59,2785,New York Philharmonic,a13b6306-faa4-4ade-bf05-1baca448156a
69,1859-02-12T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Garden,Subscription Season,1858-59,7145,New York Philharmonic,de7bcc01-4182-41be-85dd-053475e08ce4
70,1859-03-26T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Garden,Subscription Season,1858-59,4122,New York Philharmonic,62f5b925-87a8-4ecf-8bd4-cf862077a6a5
71,1859-04-30T05:00:00Z,"Manhattan, NY",8:00PM,Niblo's Garden,Subscription Season,1858-59,1083,New York Philharmonic,63a431ab-1cca-45db-80c4-8c29a49ba4c3
72,1859-11-19T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1859-60,3007,New York Philharmonic,ff5e347a-a254-4e5b-a04f-441875458ab3
73,1860-01-07T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1859-60,3679,New York Philharmonic,ec847d29-db5d-4bd3-92cb-d560d7370405
74,1860-02-11T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1859-60,663,New York Philharmonic,faeee769-d615-4ee3-af97-004bef8e6db0
75,1860-03-24T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1859-60,5011,New York Philharmonic,322f2e07-97d8-43d9-b705-fd588b80d602
76,1860-04-28T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1859-60,2014,New York Philharmonic,5bd6f3bf-ce4e-4a73-9992-19fa5796cc2d
77,1860-11-10T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1860-61,3879,New York Philharmonic,2f8e4986-ef77-460d-89c7-18e7b35ab7f2
78,1860-12-22T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1860-61,858,New York Philharmonic,6fd29d7c-6cb2-41b3-bc82-852c04741f38
79,1861-02-02T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1860-61,1541,New York Philharmonic,6249f95a-5bee-4b30-9540-acde73ea7be1
80,1861-03-16T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1860-61,5937,New York Philharmonic,3026b3d7-8f0e-45d5-86d4-83ae74dece21
81,1861-04-20T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1860-61,2887,New York Philharmonic,8950dbb3-d5e1-41a5-b73a-fc3fa6917003
82,1861-05-25T05:00:00Z,"Manhattan, NY",7:30PM,Academy of Music,Special,1860-61,11479,New York Philharmonic,71e19d65-bc71-4c93-b5af-b47e5353ff43
83,1861-11-09T05:00:00Z,"Manhattan, NY",8:00PM,Irving Hall,Subscription Season,1861-62,4794,New York Philharmonic,e69f02fd-6224-4577-9f36-8ccc40250472
84,1861-12-21T05:00:00Z,"Manhattan, NY",8:00PM,Irving Hall,Subscription Season,1861-62,1738,New York Philharmonic,fb5aa145-34ff-4b6f-aa12-0388ebbb8a45
85,1862-02-01T05:00:00Z,"Manhattan, NY",None,Irving Hall,Subscription Season,1861-62,2457,New York Philharmonic,5b8f94a1-d763-4e43-97df-2dc253ddd652
86,1862-03-15T05:00:00Z,"Manhattan, NY",8:00PM,Irving Hall,Subscription Season,1861-62,6795,New York Philharmonic,7b23a0d5-d7f5-49f9-afac-e3440d96c507
87,1862-04-26T05:00:00Z,"Manhattan, NY",8:00PM,Irving Hall,Subscription Season,1861-62,3788,New York Philharmonic,b8eeb164-20fc-4985-9fd3-50e4cc9efc09
88,1862-11-08T05:00:00Z,"Manhattan, NY",8:00PM,Irving Hall,Subscription Season,1862-63,2737,New York Philharmonic,0d97fa31-e999-4600-b11f-4583f81ce927
89,1862-12-20T05:00:00Z,"Manhattan, NY",8:00PM,Irving Hall,Subscription Season,1862-63,7100,New York Philharmonic,b0538ce7-da8a-45d7-85a0-087db44324eb
90,1863-01-31T05:00:00Z,"Manhattan, NY",8:00PM,Irving Hall,Subscription Season,1862-63,3446,New York Philharmonic,91209be0-6445-4770-9b37-426ffcf204dc
91,1863-03-14T05:00:00Z,"Manhattan, NY",8:00PM,Irving Hall,Subscription Season,1862-63,4783,New York Philharmonic,6ec671b0-5959-4f10-8bef-de76ca2c84a3
92,1863-04-25T05:00:00Z,"Manhattan, NY",8:00PM,Irving Hall,Subscription Season,1862-63,1726,New York Philharmonic,a8b5d9d3-8f69-4b01-9174-2be8f7b415f8
93,1863-11-07T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1863-64,3648,New York Philharmonic,14467843-41c9-4d30-bd6c-1da1350e0774
94,1863-12-19T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1863-64,618,New York Philharmonic,8f5ab818-8d68-4fac-a163-83e6e669c461
95,1864-01-30T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1863-64,4331,New York Philharmonic,50c805da-9079-467f-b525-89a6ec3bd47e
96,1864-03-12T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1863-64,5659,New York Philharmonic,4664a8fe-dbf8-43e7-b7f7-ca9cc65393b7
97,1864-04-02T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1863-64,4442,New York Philharmonic,40275a2f-556c-4ab6-b889-1b61b05276db
98,1864-04-23T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1863-64,2625,New York Philharmonic,c06bbb41-4673-4da8-af35-0ec5bd5febf4
99,1864-11-05T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1864-65,4537,New York Philharmonic,4d127a22-18fb-45e3-9726-8d0450098844
100,1864-12-17T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1864-65,1487,New York Philharmonic,d02b4b8e-da31-47d7-93c1-4310442ea032
101,1865-01-28T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1864-65,5230,New York Philharmonic,0b22f0cc-2cf9-4d92-976e-69813702305a
102,1865-03-11T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1864-65,6560,New York Philharmonic,fed3581c-e76d-4cb0-90da-09da19c6d2d7
103,1865-04-29T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1864-65,3526,New York Philharmonic,d14d8ba8-2d3f-49b1-ba61-4507a078a0a8
104,1865-11-04T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1865-66,5442,New York Philharmonic,e4ec9f83-711c-4a5c-8aaa-0428131e00f8
105,1865-12-16T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1865-66,2423,New York Philharmonic,66687509-824f-4d81-8020-18af844485a9
106,1866-01-27T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1865-66,6144,New York Philharmonic,dbcb4a63-a848-4a32-a91d-764a68b48df3
107,1866-03-10T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1865-66,76,New York Philharmonic,b2bd190e-9b6b-4d75-b384-a0b73c3a24e5
108,1866-04-21T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1865-66,4433,New York Philharmonic,17764dfa-09bb-4606-909b-4b327c62f835
109,1866-11-17T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1866-67,3403,New York Philharmonic,9fd3ffe9-5a62-4c60-850e-726abb3ce458
110,1866-12-15T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1866-67,349,New York Philharmonic,1538c295-306b-4657-b003-d22ecda2e755
111,1867-01-26T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1866-67,4096,New York Philharmonic,9523b5a2-274c-4d1f-b0d0-181a66b7889b
112,1867-03-09T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1866-67,5423,New York Philharmonic,844826c5-313d-41e9-b80a-1d84912ef3f6
113,1867-04-20T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1866-67,2397,New York Philharmonic,659c75f9-b7f7-4676-b7cd-da16b10cd0e5
114,1867-05-04T05:00:00Z,"Manhattan, NY",8:00PM,Steinway Hall,Subscription Season,1866-67,6733,New York Philharmonic,2e835b86-fe86-4632-88f6-276ae03dc888
115,1867-11-16T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1867-68,4299,New York Philharmonic,b39c1414-caae-4573-b6ed-2817dea577b3
116,1867-12-21T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1867-68,1229,New York Philharmonic,331c0542-bbe2-4f29-a2b4-70001f0789a3
117,1868-02-01T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1867-68,1965,New York Philharmonic,d35d085f-31f8-440e-aa75-d2ad615391b9
118,1868-03-07T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1867-68,6303,New York Philharmonic,7e576896-295d-487b-8114-b0a32cd67745
119,1868-04-18T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1867-68,3291,New York Philharmonic,ab085edb-a277-4733-beb0-ccf875e09591
120,1868-11-28T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1868-69,5193,New York Philharmonic,55305dc7-2cb9-42a3-ae79-5f70fa33cd0e
121,1869-01-09T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1868-69,5879,New York Philharmonic,bef17f6c-5128-444e-94f5-b19e74b90121
122,1869-02-06T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1868-69,2845,New York Philharmonic,d53f1f57-7e72-49da-8872-e2737de0b9f2
123,1869-03-06T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1868-69,7193,New York Philharmonic,8203ba7f-29cd-4d11-a6dc-057e8529770e
124,1869-04-10T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1868-69,4196,New York Philharmonic,a6fd4391-5762-4487-a9d2-408221b144e2
125,1869-05-08T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1868-69,1138,New York Philharmonic,a21cb936-5c34-47a2-820a-8f1761bab47a
126,1869-11-27T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1869-70,6098,New York Philharmonic,f6ebc4fb-1450-4f44-a6d9-91a4cac803b6
127,1870-01-08T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1869-70,6753,New York Philharmonic,7c5ab5a5-5987-439c-83ce-b3ba8e11c546
128,1870-02-05T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1869-70,3737,New York Philharmonic,ab7d2b59-139d-45f5-889d-d39c15a85846
129,1870-03-05T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1869-70,710,New York Philharmonic,cc889f1b-4283-414b-b1b3-79f354a9c9ab
130,1870-03-05T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1869-70,710,New York Philharmonic,d5c39c72-0b19-4d69-bf6f-c116fb96a834-0.1
131,1870-04-02T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1869-70,5080,New York Philharmonic,0279aea7-5bd0-4d59-b5a5-e9d297e3a376
132,1870-05-07T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1869-70,2096,New York Philharmonic,e747bebb-1997-416e-9293-9b00a8dcc5e1
133,1870-11-26T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1870-71,6945,New York Philharmonic,97dc45b3-6fa7-4ff9-9fde-37ea2744b055
134,1870-12-17T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1870-71,5760,New York Philharmonic,90234d27-c0dc-4dd4-b8e7-f6d236fc400c
135,1871-01-07T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1870-71,273,New York Philharmonic,231cf3c5-b59f-478a-a34e-13b4b8d9af6f
136,1871-02-04T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1870-71,4634,New York Philharmonic,f0de6aac-8b3b-4f1b-996e-fc9d26640722
137,1871-03-04T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1870-71,1613,New York Philharmonic,438cefb9-e6c4-449e-bb6d-24c73917b6c4
138,1871-04-01T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1870-71,6034,New York Philharmonic,5d9eac63-939d-45fe-b3c2-fb3e5fec16cf
139,1871-05-06T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1870-71,2993,New York Philharmonic,34df719c-031e-4cba-8fc8-59ae38352e85
140,1871-12-02T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1871-72,1901,New York Philharmonic,e1a393f4-f6b1-4cb2-a52b-c4c29c5579be
141,1872-01-06T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1871-72,5615,New York Philharmonic,d39f4908-fcff-4744-8a40-c1206f1a6797
142,1872-02-03T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1871-72,2591,New York Philharmonic,5cdde466-7e86-4c1c-9073-3ec7b70e32ec
143,1872-03-02T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1871-72,6927,New York Philharmonic,332db88c-9487-4440-a572-6463228075c3
144,1872-04-06T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1871-72,3925,New York Philharmonic,b59e3f09-2045-4537-b73b-38639d97c7d1
145,1872-05-04T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1871-72,894,New York Philharmonic,f199fb43-4a2c-4d7a-bef6-c93732ecad37
146,1872-11-16T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1872-73,5828,New York Philharmonic,7788da2d-a6aa-4b87-929e-61c82125d422
147,1872-12-14T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1872-73,2804,New York Philharmonic,40ea16ca-48fd-4e1b-9f69-c23a60c1dc72
148,1873-01-18T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1872-73,6521,New York Philharmonic,ca47b805-f285-4a7d-9c65-40453551f437
149,1873-02-15T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1872-73,3498,New York Philharmonic,4b7aae57-e0c9-4dac-9e3c-945175eeebfb
150,1873-03-15T05:00:00Z,"Manhattan, NY",8:00PM,Academy of Music,Subscription Season,1872-73,437,New York Philharmonic,153f3404-bcd6-455e-b530-89ee5bbd2f4b
